Pot;Plot;Treatment;Basalt_type_exp;Dose_response_exp.;pH;EC;Date;Daysafterstart
10A;10;Lime_02;Y;N;6.57;68.49;19/04/2023;-35
10B;10;Lime_02;Y;N;6.91;61.66;19/04/2023;-35
10C;10;Lime_02;Y;N;6.81;53.2;19/04/2023;-35
11A;11;Control;Y;Y;6.85;60.99;19/04/2023;-35
11B;11;Control;Y;Y;6.91;40.12;19/04/2023;-35
11C;11;Control;Y;Y;7.01;60.91;19/04/2023;-35
12A;12;Huhnerberg_20;N;Y;7.06;76.55;19/04/2023;-35
12B;12;Huhnerberg_20;N;Y;6.56;53.5;19/04/2023;-35
12C;12;Huhnerberg_20;N;Y;6.52;49.23;19/04/2023;-35
13A;13;Eifelgold_50;Y;N;6.33;38.85;19/04/2023;-35
13B;13;Eifelgold_50;Y;N;6.12;39.62;19/04/2023;-35
13C;13;Eifelgold_50;Y;N;6.43;51.98;19/04/2023;-35
14A;14;Huhnerberg_50;Y;Y;6.82;49.69;19/04/2023;-35
14B;14;Huhnerberg_50;Y;Y;6.6;55.8;19/04/2023;-35
14C;14;Huhnerberg_50;Y;Y;6.8;80.22;19/04/2023;-35
15B;15;Bolsdorfer_50;Y;N;6.28;48.17;19/04/2023;-35
15B;15;Bolsdorfer_50;Y;N;6.69;63.36;19/04/2023;-35
15C;15;Bolsdorfer_50;Y;N;6.62;42.64;19/04/2023;-35
16A;16;Huhnerberg_30;N;Y;6.86;58.58;19/04/2023;-35
16B;16;Huhnerberg_30;N;Y;7.26;55.97;19/04/2023;-35
16C;16;Huhnerberg_30;N;Y;7.12;47.55;19/04/2023;-35
17A;17;Lime_02;Y;N;7;50.1;19/04/2023;-35
17B;17;Lime_02;Y;N;6.82;39.5;19/04/2023;-35
17C;17;Lime_02;Y;N;6.81;46.75;19/04/2023;-35
18A;18;Control;Y;Y;6.66;57.27;19/04/2023;-35
18B;18;Control;Y;Y;6.41;63.41;19/04/2023;-35
18C;18;Control;Y;Y;6.67;21.57;19/04/2023;-35
19A;19;Huhnerberg_50;Y;Y;6.4;36.95;19/04/2023;-35
19B;19;Huhnerberg_50;Y;Y;6.62;66.11;19/04/2023;-35
19C;19;Huhnerberg_50;Y;Y;6.85;50.34;19/04/2023;-35
1A;1;Control;Y;Y;6.53;64.59;19/04/2023;-35
1B;1;Control;Y;Y;6.48;67.91;19/04/2023;-35
1C;1;Control;Y;Y;6.51;31.1;19/04/2023;-35
20A;20;Bolsdorfer_50;Y;N;6.44;31.22;19/04/2023;-35
20B;20;Bolsdorfer_50;Y;N;6.88;60.76;19/04/2023;-35
20C;20;Bolsdorfer_50;Y;N;6.72;28.29;19/04/2023;-35
21A;21;Eifelgold_50;Y;N;6.75;33.92;19/04/2023;-35
21B;21;Eifelgold_50;Y;N;6.31;58.01;19/04/2023;-35
21C;21;Eifelgold_50;Y;N;6.66;55.96;19/04/2023;-35
2A;2;Eifelgold_50;Y;N;6.97;38.69;19/04/2023;-35
2B;2;Eifelgold_50;Y;N;6.75;82.33;19/04/2023;-35
2C;2;Eifelgold_50;Y;N;7.06;73.74;19/04/2023;-35
3A;3;Huhnerberg_02;N;Y;6.6;71.56;19/04/2023;-35
3B;3;Huhnerberg_02;N;Y;6.61;95.26;19/04/2023;-35
3C;3;Huhnerberg_02;N;Y;6.95;60.72;19/04/2023;-35
4A;4;Bolsdorfer_50;Y;N;6.29;65.01;19/04/2023;-35
4B;4;Bolsdorfer_50;Y;N;6.55;61.97;19/04/2023;-35
4C;4;Bolsdorfer_50;Y;N;6.42;56.7;19/04/2023;-35
5A;5;Huhnerberg_04;N;Y;6.57;60.85;19/04/2023;-35
5B;5;Huhnerberg_04;N;Y;6.64;51.44;19/04/2023;-35
5C;5;Huhnerberg_04;N;Y;6.6;56.89;19/04/2023;-35
6A;6;Lime_02;Y;N;6.53;61.72;19/04/2023;-35
6B;6;Lime_02;Y;N;6.54;62.34;19/04/2023;-35
6C;6;Lime_02;Y;N;6.67;52.87;19/04/2023;-35
7A;7;Huhnerberg_08;N;Y;6.32;61.32;19/04/2023;-35
7B;7;Huhnerberg_08;N;Y;6.54;68.39;19/04/2023;-35
7C;7;Huhnerberg_08;N;Y;6.24;99.2;19/04/2023;-35
8A;8;Huhnerberg_12;N;Y;6.72;74.81;19/04/2023;-35
8B;8;Huhnerberg_12;N;Y;6.6;60.18;19/04/2023;-35
8C;8;Huhnerberg_12;N;Y;6.69;57.74;19/04/2023;-35
9A;9;Huhnerberg_50;Y;Y;6.54;64.58;19/04/2023;-35
9B;9;Huhnerberg_50;Y;Y;6.53;52.41;19/04/2023;-35
9C;9;Huhnerberg_50;Y;Y;6.72;52.61;19/04/2023;-35
10A;10;Lime_02;Y;N;6.87;61.35;3/10/2023;132
10B;10;Lime_02;Y;N;7.2;97.31;3/10/2023;132
10C;10;Lime_02;Y;N;7.29;82.8;3/10/2023;132
11A;11;Control;Y;Y;6.84;77.57;3/10/2023;132
11B;11;Control;Y;Y;6.53;60.13;3/10/2023;132
11C;11;Control;Y;Y;6.74;59.09;3/10/2023;132
12A;12;Huhnerberg_20;N;Y;6.9;66.06;3/10/2023;132
12B;12;Huhnerberg_20;N;Y;6.68;75.36;3/10/2023;132
12C;12;Huhnerberg_20;N;Y;6.91;111.7;3/10/2023;132
13A;13;Eifelgold_50;Y;N;6.84;94.53;3/10/2023;132
13B;13;Eifelgold_50;Y;N;6.9;90.1;3/10/2023;132
13C;13;Eifelgold_50;Y;N;7.35;62.27;3/10/2023;132
14A;14;Huhnerberg_50;Y;Y;7.5;98.05;3/10/2023;132
14B;14;Huhnerberg_50;Y;Y;6.99;65.96;3/10/2023;132
14C;14;Huhnerberg_50;Y;Y;7.29;70.89;3/10/2023;132
15A;15;Bolsdorfer_50;Y;N;7.28;79.2;3/10/2023;132
15B;15;Bolsdorfer_50;Y;N;7.41;91.2;3/10/2023;132
15C;15;Bolsdorfer_50;Y;N;7.05;105.8;3/10/2023;132
16A;16;Huhnerberg_30;N;Y;7.23;108.3;3/10/2023;132
16B;16;Huhnerberg_30;N;Y;7.52;84.85;3/10/2023;132
16C;16;Huhnerberg_30;N;Y;7.08;38.94;3/10/2023;132
17A;17;Lime_02;Y;N;7.45;80.04;3/10/2023;132
17B;17;Lime_02;Y;N;7.08;66.02;3/10/2023;132
17C;17;Lime_02;Y;N;7.37;87.27;3/10/2023;132
18A;18;Control;Y;Y;6.66;83.17;3/10/2023;132
18B;18;Control;Y;Y;6.77;57.34;3/10/2023;132
18C;18;Control;Y;Y;6.5;54.7;3/10/2023;132
19A;19;Huhnerberg_50;Y;Y;7.29;73.77;3/10/2023;132
19B;19;Huhnerberg_50;Y;Y;7.5;121.4;3/10/2023;132
19C;19;Huhnerberg_50;Y;Y;7.52;114.2;3/10/2023;132
1A;1;Control;Y;Y;7.02;62.4;3/10/2023;132
1B;1;Control;Y;Y;6.77;51.59;3/10/2023;132
1C;1;Control;Y;Y;6.81;65.12;3/10/2023;132
20A;20;Bolsdorfer_50;Y;N;7.24;121.7;3/10/2023;132
20B;20;Bolsdorfer_50;Y;N;7.36;107.5;3/10/2023;132
20C;20;Bolsdorfer_50;Y;N;7.35;167.3;3/10/2023;132
21A;21;Eifelgold_50;Y;N;6.69;57.22;3/10/2023;132
21B;21;Eifelgold_50;Y;N;6.98;113.5;3/10/2023;132
21C;21;Eifelgold_50;Y;N;7.03;62.51;3/10/2023;132
2A;2;Eifelgold_50;Y;N;6.87;99.71;3/10/2023;132
2B;2;Eifelgold_50;Y;N;6.93;71.81;3/10/2023;132
2C;2;Eifelgold_50;Y;N;6.91;71.16;3/10/2023;132
3A;3;Huhnerberg_02;N;Y;6.79;80.82;3/10/2023;132
3B;3;Huhnerberg_02;N;Y;6.57;74.05;3/10/2023;132
3C;3;Huhnerberg_02;N;Y;6.76;92.64;3/10/2023;132
4A;4;Bolsdorfer_50;Y;N;7.18;108.5;3/10/2023;132
4B;4;Bolsdorfer_50;Y;N;7.15;104.7;3/10/2023;132
4C;4;Bolsdorfer_50;Y;N;7.3;110.9;3/10/2023;132
5A;5;Huhnerberg_04;N;Y;6.54;73.4;3/10/2023;132
5B;5;Huhnerberg_04;N;Y;6.78;72.32;3/10/2023;132
5C;5;Huhnerberg_04;N;Y;6.79;56.87;3/10/2023;132
6A;6;Lime_02;Y;N;7.1;86.94;3/10/2023;132
6B;6;Lime_02;Y;N;6.91;107.2;3/10/2023;132
6C;6;Lime_02;Y;N;6.71;124;3/10/2023;132
7A;7;Huhnerberg_08;N;Y;6.42;134.4;3/10/2023;132
7B;7;Huhnerberg_08;N;Y;6.52;57.63;3/10/2023;132
7C;7;Huhnerberg_08;N;Y;6.7;81.47;3/10/2023;132
8A;8;Huhnerberg_12;N;Y;7.03;91.21;3/10/2023;132
8B;8;Huhnerberg_12;N;Y;6.98;136.3;3/10/2023;132
8C;8;Huhnerberg_12;N;Y;6.55;53.8;3/10/2023;132
9A;9;Huhnerberg_50;Y;Y;7.39;60.09;3/10/2023;132
9B;9;Huhnerberg_50;Y;Y;6.95;60.27;3/10/2023;132
9C;9;Huhnerberg_50;Y;Y;6.95;71.27;3/10/2023;132
1A;1;Control;Y;Y;5.83;110.3;23/09/2024;488
1B;1;Control;Y;Y;5.78;57.32;23/09/2024;488
1C;1;Control;Y;Y;5.89;67.15;23/09/2024;488
2A;2;Eifelgold_50;Y;N;6.5;73.13;23/09/2024;488
2B;2;Eifelgold_50;Y;N;6.53;62.72;23/09/2024;488
2C;2;Eifelgold_50;Y;N;6.43;72.83;23/09/2024;488
3A;3;Huhnerberg_02;N;Y;6.18;73.7;23/09/2024;488
3B;3;Huhnerberg_02;N;Y;5.4;131.9;23/09/2024;488
3C;3;Huhnerberg_02;N;Y;6.11;131.4;23/09/2024;488
4A;4;Bolsdorfer_50;Y;N;6.65;66.58;23/09/2024;488
4B;4;Bolsdorfer_50;Y;N;6.71;70.06;23/09/2024;488
4C;4;Bolsdorfer_50;Y;N;6.41;69.52;23/09/2024;488
5A;5;Huhnerberg_04;N;Y;6.45;56.92;23/09/2024;488
5B;5;Huhnerberg_04;N;Y;6.35;64.71;23/09/2024;488
5C;5;Huhnerberg_04;N;Y;5.75;72.46;23/09/2024;488
6A;6;Lime_02;Y;N;6.13;98.12;23/09/2024;488
6B;6;Lime_02;Y;N;5.79;109.6;23/09/2024;488
6C;6;Lime_02;Y;N;5.67;130.8;23/09/2024;488
7A;7;Huhnerberg_08;N;Y;5.41;64.13;23/09/2024;488
7B;7;Huhnerberg_08;N;Y;5.55;67.8;23/09/2024;488
7C;7;Huhnerberg_08;N;Y;5.49;55.65;23/09/2024;488
8A;8;Huhnerberg_12;N;Y;5.55;93.19;23/09/2024;488
8B;8;Huhnerberg_12;N;Y;5.63;63.96;23/09/2024;488
8C;8;Huhnerberg_12;N;Y;5.61;77.39;23/09/2024;488
9A;9;Huhnerberg_50;Y;Y;5.6;76.02;23/09/2024;488
9B;9;Huhnerberg_50;Y;Y;5.17;96.9;23/09/2024;488
9C;9;Huhnerberg_50;Y;Y;5.62;70.89;23/09/2024;488
10A;10;Lime_02;Y;N;5.78;65.05;23/09/2024;488
10B;10;Lime_02;Y;N;5.78;65.97;23/09/2024;488
10C;10;Lime_02;Y;N;5.71;61.5;23/09/2024;488
11A;11;Control;Y;Y;5.57;71.43;23/09/2024;488
