"plot","C_total","N_total"
1,1.758235097,0.171819937666667
2,2.53305415266667,0.213078048333333
3,3.221543094,0.286069034666667
4,1.52503511366667,0.152914272
5,1.982048652,0.209305415333333
6,2.455962823,0.470408161333333
7,2.22225751466667,0.571799775333333
8,2.05554005766667,0.256234070333333
9,1.93755045233333,0.840417438666667
10,2.120475061,0.58295738
11,2.32016281866667,0.395626186666667
12,2.13942744133333,0.278256957333333
13,1.70190251166667,0.142064419666667
14,2.087194522,0.163787577
15,1.975471964,0.478515576
16,3.034160509,0.549974083
17,2.188157071,0.609336913
18,1.88699997066667,0.413721045
19,2.43599037166667,0.513440778666667
20,2.12721760433333,0.366123765333333
21,2.033913339,0.56745997
