Plot,Plant #,Part,Total Mass (g),Mass of Pan (g),Mass Difference (g)
8,3,Stem,137.8,116,21.8
8,3,Corn,159.8,116,43.8
8,4,TL,125.8,116,9.8
8,4,Stem,146.2,116,30.2
8,4,Corn,165.8,116,49.8
8,4,Rem,203.6,116,87.6
8,5,Rem,145,120,25
8,5,Stem,160.2,120,40.2
8,5,Corn,214,120,94
8,5,TL,124.4,120,4.4
8,6,Rem,117.4,113,4.4
8,6,TL,121.8,113,8.8
8,6,Stem,152.2,113,39.2
8,6,Corn,177.4,113,64.4
9,1,TL,121.8,120,1.8
9,1,Rem,135,120,15
9,1,Stem,162.8,120,42.8
9,1,Corn,266.2,120,146.2
9,2,TL,124.2,120,4.2
9,2,Rem,135.2,120,15.2
9,2,Stem,155.2,120,35.2
9,2,Corn,207.6,120,87.6
9,3,TL,123,120,3
9,3,Rem,143.4,120,23.4
9,3,Stem,163.4,120,43.4
9,3,Corn,250,120,130
9,4,TL,121.2,120,1.2
9,4,Rem,152.8,120,32.8
9,4,Stem,170,120,50
9,4,Corn,272.6,120,152.6
9,5,TL,120.8,120,0.8
9,5,Rem,138.4,120,18.4
9,5,Stem,156.6,120,36.6
9,5,Corn,217.6,120,97.6
9,6,TL,123.8,120,3.8
9,6,Rem,136.4,120,16.4
9,6,Stem,165,120,45
9,6,Corn,245.6,120,125.6
10,1,TL,123.8,120,3.8
10,1,Rem,143.2,120,23.2
10,1,Stem,147.2,120,27.2
10,1,Corn,170.6,120,50.6
10,2,TL,126.8,120,6.8
10,2,Rem,142.6,120,22.6
10,2,Stem,169,120,49
10,2,Corn,237,120,117
10,3,TL,125.4,120,5.4
10,3,Rem,140.8,120,20.8
10,3,Stem,158.8,120,38.8
10,3,Corn,182.2,120,62.2
10,4,TL,127.8,120,7.8
10,4,Rem,140.8,120,20.8
10,4,Stem,171.2,120,51.2
10,4,Corn,221,120,101
10,5,Rem,122.2,120,2.2
10,5,TL,126.6,120,6.6
10,5,Stem,143.6,120,23.6
10,5,Corn,157.2,120,37.2
10,6,TL,126,120,6
10,6,Rem,138.8,120,18.8
10,6,Stem,159.8,120,39.8
10,6,Corn,186.8,120,66.8
11,1,TL,122.4,120,2.4
11,1,Corn,146.6,120,26.6
11,1,Stem,153.2,120,33.2
11,1,Rem,215.4,120,95.4
11,2,TL,124.2,115,9.2
11,2,Stem,151.8,115,36.8
11,2,Rem,152.6,115,37.6
11,2,Corn,187.2,115,72.2
11,3,TL,121.4,114,7.4
11,3,Rem,139,114,25
11,3,Stem,147.2,114,33.2
11,3,Corn,162.4,114,48.4
11,4,TL,122.4,114,8.4
11,4,Rem,147,114,33
11,4,Stem,162.2,114,48.2
11,4,Corn,180,114,66
11,5,TL,125.2,120,5.2
11,5,Rem,138.4,120,18.4
11,5,Stem,164.6,120,44.6
11,5,Corn,169,120,49
12,1,TL,123,120,3
12,1,Rem,142.4,120,22.4
12,1,Stem,160.8,120,40.8
12,1,Corn,197.2,120,77.2
12,2,TL,121.2,120,1.2
12,2,Rem,139.8,120,19.8
12,2,Stem,157.2,120,37.2
12,2,Corn,193.2,120,73.2
12,3,TL,123.6,120,3.6
12,3,Rem,139.2,120,19.2
12,3,Stem,153.6,120,33.6
12,3,Corn,208.8,120,88.8
12,4,TL,124,120,4
12,4,Rem,142.4,120,22.4
12,4,Stem,165,120,45
