Sample name,Parameter,Result (%)
2_2026_oPOM,Ntotal,2.34
3_2026_oPOM,Ctotal,15.61
3_2026_oPOM,Ntotal,1.03
4_2026_oPOM,Ctotal,36.18
4_2026_oPOM,Ntotal,2.30
5_2026_oPOM,Ctotal,10.80
5_2026_oPOM,Ntotal,0.70
7_2026_oPOM,Ctotal,33.37
7_2026_oPOM,Ntotal,2.15
8_2026_oPOM,Ctotal,34.01
8_2026_oPOM,Ntotal,2.22
9_2026_oPOM,Ctotal,39.65
9_2026_oPOM,Ntotal,2.67
11_2026_oPOM,Ctotal,38.16
11_2026_oPOM,Ntotal,2.42
12_2026_oPOM,Ctotal,37.02
12_2026_oPOM,Ntotal,2.44
13_2026_oPOM,Ctotal,37.52
13_2026_oPOM,Ntotal,2.48
14_2026_oPOM,Ctotal,38.31
14_2026_oPOM,Ntotal,2.62
15_2026_oPOM,Ctotal,35.50
15_2026_oPOM,Ntotal,2.23
16_2026_oPOM,Ctotal,36.57
16_2026_oPOM,Ntotal,2.52
17_2026_oPOM,Ctotal,16.86
17_2026_oPOM,Ntotal,1.21
18_2026_oPOM,Ctotal,20.16
18_2026_oPOM,Ntotal,1.37
19_2026_oPOM,Ctotal,30.46
19_2026_oPOM,Ntotal,1.97
20_2026_oPOM,Ctotal,31.58
20_2026_oPOM,Ntotal,2.08
21_2026_oPOM,Ctotal,35.01
21_2026_oPOM,Ntotal,2.32
6_2025_oPOM,Ctotal,26.51
6_2025_oPOM,Ntotal,1.77
10_2025_oPOM,Ctotal,17.22
10_2025_oPOM,Ntotal,1.15
17_2025_oPOM,Ctotal,39.02
17_2025_oPOM,Ntotal,2.70
6_2026_oPOM,Ctotal,35.83
6_2026_oPOM,Ntotal,2.40
10_2026_oPOM,Ctotal,38.51
10_2026_oPOM,Ntotal,2.56
17_2026_oPOM,Ctotal,27.73
17_2026_oPOM,Ntotal,2.02
