"Date","Tmt","App_rate","mean_pH","se_pH","mean_EC","se_EC"
2023-04-19,"Bolsdorfer","50",6.54333333333333,0.0678437747901587,50.9022222222222,4.68736948789504
2023-04-19,"Control","0",6.67,0.070178344238091,51.9855555555556,5.5699252216981
2023-04-19,"Eifelgold","50",6.59777777777778,0.106285487900614,52.5666666666667,5.6170351016647
2023-04-19,"Huhnerberg","02",6.72,0.115036226178249,75.8466666666667,10.1986033902251
2023-04-19,"Huhnerberg","04",6.60333333333333,0.0202758751009939,56.3933333333333,2.72776057926237
2023-04-19,"Huhnerberg","08",6.36666666666667,0.0896908269804913,76.3033333333333,11.6288324626527
2023-04-19,"Huhnerberg","12",6.67,0.03605551275464,64.2433333333333,5.33007921558812
2023-04-19,"Huhnerberg","20",6.71333333333333,0.173717522943938,59.76,8.48501227655761
2023-04-19,"Huhnerberg","30",7.08,0.117189305541646,54.0333333333333,3.32807418453642
2023-04-19,"Huhnerberg","50",6.65333333333333,0.0511805084426136,56.5233333333333,4.11492270752306
2023-04-19,"Lime","02",6.74,0.0565930894878321,55.1811111111111,3.03949440443109
2023-10-03,"Bolsdorfer","50",7.25777777777778,0.0382890243113617,110.755555555556,8.14125487036228
2023-10-03,"Control","0",6.73777777777778,0.0531187814080067,63.4566666666667,3.48952798463568
2023-10-03,"Eifelgold","50",6.94444444444444,0.0598171080858401,80.3122222222222,6.56949046260603
2023-10-03,"Huhnerberg","02",6.70666666666667,0.0688799277325726,82.5033333333333,5.43207245083413
2023-10-03,"Huhnerberg","04",6.70333333333333,0.0817176711475418,67.53,5.3391104127935
2023-10-03,"Huhnerberg","08",6.54666666666667,0.0819213715162968,91.1666666666667,22.6857314431585
2023-10-03,"Huhnerberg","12",6.85333333333333,0.152351931760353,93.77,23.8500712787195
2023-10-03,"Huhnerberg","20",6.83,0.0750555349946515,84.3733333333333,13.9245889626149
2023-10-03,"Huhnerberg","30",7.27666666666667,0.12914247085207,77.3633333333333,20.3694217994631
2023-10-03,"Huhnerberg","50",7.26444444444444,0.0804865604915074,81.7666666666667,7.78364828056584
2023-10-03,"Lime","02",7.10888888888889,0.0818441005211949,88.1033333333333,6.49425066244495
2024-02-13,"Bolsdorfer","50",7.08333333333333,0.0852773253697736,76.0533333333333,4.71834540208041
2024-02-13,"Control","0",6.57444444444444,0.0744817485307477,52.2688888888889,4.36976812391574
2024-02-13,"Eifelgold","50",6.69777777777778,0.078647910507276,63.5211111111111,4.34475719959778
2024-02-13,"Huhnerberg","02",6.52,0.160934769394311,75.6,7.21250534372997
2024-02-13,"Huhnerberg","04",6.62666666666667,0.0896908269804913,50.5466666666667,2.53991032212644
2024-02-13,"Huhnerberg","08",6.6,0.055075705472861,57.0166666666667,0.727835451489171
2024-02-13,"Huhnerberg","12",6.59666666666667,0.0352766841475279,72.12,11.2377993100666
2024-02-13,"Huhnerberg","20",6.84,0.185022521151706,72.4466666666667,8.13091699078961
2024-02-13,"Huhnerberg","30",7.17666666666667,0.174769689718911,73.1766666666667,6.51664876382878
2024-02-13,"Huhnerberg","50",6.88222222222222,0.0685317804983323,63.1566666666667,6.2525332643835
2024-02-13,"Lime","02",6.85666666666667,0.0860071056496045,61.4477777777778,5.1106894451667
2024-07-23,"Bolsdorfer","50",6.42444444444444,0.0761050281429682,84.9344444444444,10.9348590285979
2024-07-23,"Control","0",6.51777777777778,0.0891593108769319,78.0555555555556,3.31382504362453
2024-07-23,"Eifelgold","50",6.46888888888889,0.0612699954764077,93.36,9.48407290613526
2024-07-23,"Huhnerberg","02",6.8,0.309246395829173,106.136666666667,20.9859479440675
2024-07-23,"Huhnerberg","04",6.58666666666667,0.0983756970891582,78.1433333333333,2.0182858513545
2024-07-23,"Huhnerberg","08",6.31666666666667,0.132455443242037,84.4433333333333,6.12071981968715
2024-07-23,"Huhnerberg","12",6.64666666666667,0.195476625485277,66.0366666666667,4.36763220877298
2024-07-23,"Huhnerberg","20",6.33333333333333,0.0698410894658564,84.1066666666667,5.404641009766
2024-07-23,"Huhnerberg","30",6.93,0.0793725393319376,82.68,10.2106676242709
2024-07-23,"Huhnerberg","50",6.53777777777778,0.0732912337068466,76.5722222222222,4.85152947755705
2024-07-23,"Lime","02",6.53111111111111,0.0894030269877251,77.0177777777778,3.28460498968622
2024-09-23,"Bolsdorfer","50",5.97111111111111,0.160480566878607,63.2644444444444,4.44403630070405
2024-09-23,"Control","0",5.73444444444444,0.0431441740341198,70.6133333333333,5.18946127582944
2024-09-23,"Eifelgold","50",6.02777777777778,0.130637090379096,66.6955555555556,2.42168967132404
2024-09-23,"Huhnerberg","02",5.89666666666667,0.249154124544985,112.333333333333,19.3172059171207
2024-09-23,"Huhnerberg","04",6.18333333333333,0.2185812841434,64.6966666666667,4.48601654527092
2024-09-23,"Huhnerberg","08",5.48333333333333,0.040551750201988,62.5266666666667,3.59785275469195
2024-09-23,"Huhnerberg","12",5.59666666666667,0.0240370085030933,78.18,8.44721453103526
2024-09-23,"Huhnerberg","20",6.01333333333333,0.306938285508848,59.59,3.85454277444161
2024-09-23,"Huhnerberg","30",5.96,0.0450924975282289,58.4866666666667,3.89061406178739
2024-09-23,"Huhnerberg","50",5.64888888888889,0.0772521924256386,73.7255555555556,7.47901603582968
2024-09-23,"Lime","02",5.80666666666667,0.0456739653534824,78.7633333333333,9.02915232270819
2025-10-28,"Bolsdorfer","50",6.93111111111111,0.0980992191106711,84.1033333333333,6.08775182002537
2025-10-28,"Control","0",6.65444444444444,0.101504120210724,101.54,5.33392965416264
