"rbf..","sample.ID","date.fractionation","Plot","Sampling_year","SOM_fraction","mass.filter.s.","mass.filter.s.....dried.som","mass.som.on.filter","mass.som.on.filter.corr","mass.soil","mass.soil.corr","mass.rbf...som.fraction.freeze.dried","mass.som.fraction","total.mass.som.fractions","moisture_content","mass_rbf","Tmt","App_rate","Basalt_type_exp","Dose_resp_exp","recovery_percent","fraction_prop","core_id","Ctotal","Ntotal","CN","C_bulk","N_bulk","CN_bulk","Cprop","Nprop"
138,"21_2023_fPOM","25/03/2026",21,2023,"fPOM",0.109,0.12,"0.011",0.011,9.35,NA,104.271,0.105999999999995,9.55799999999998,NA,104.176,"Control","0","Y","N",NA,1.10901862314286,"21_2023",21.52629471,1.230434418,17.4948736763961,2.03,0.15,13.5333333333333,11.7601289264294,9.09716456078633
68,"21_2023_oPOM","25/03/2026",21,2023,"oPOM",0.107,0.315,"0.208",0.208,9.35,NA,103.705,0.381999999999991,9.55799999999998,NA,103.531,"Control","0","Y","N",NA,3.9966520192508,"21_2023",23.26,1.55,15.0064516129032,2.03,0.15,13.5333333333333,45.7941507230412,41.2987375322583
75,"21_2023_MAOM","25/03/2026",21,2023,"MAOM",NA,NA,"#VALUE!",0,9.35,NA,182.14,9.06999999999999,9.55799999999998,NA,173.07,"Control","0","Y","N",NA,94.8943293576063,"21_2023",1.04,0.08,13,2.03,0.15,13.5333333333333,48.6158140551284,50.6103089907234
133,"1_2025_fPOM","25/03/2026",1,2025,"fPOM",0.109,0.115,"0.006",0.006,7.07,7.07,105.213,0.0779999999999887,7.13399999999999,0,105.141,"Control","0","Y","Y",100.905233380481,1.09335576114366,"1_2025",21.98509598,1.365091085,16.1052227368403,1.758235097,0.171819937666667,11.133139717343,13.6713977499616,8.68659494665942
126,"1_2025_oPOM","25/03/2026",1,2025,"oPOM",0.104,0.293,"0.189",0.189,7.07,7.07,106.616,0.275999999999996,7.13399999999999,0,106.529,"Control","0","Y","Y",100.905233380481,3.8687973086627,"1_2025",23.75,1.53,15.5228758169935,1.758235097,0.171819937666667,11.133139717343,52.259186634095,34.4503668354099
155,"1_2025_MAOM","25/03/2026",1,2025,"MAOM",NA,NA,"#VALUE!",0,7.07,7.07,179.61,6.78,7.13399999999999,0,172.83,"Control","0","Y","Y",100.905233380481,95.0378469301936,"1_2025",1,0.08,12.5,1.758235097,0.171819937666667,11.133139717343,54.052980225655,44.2499738835052
153,"2_2025_fPOM","23/03/2026",2,2025,"fPOM",0.107,0.115,"0.008",0.008,10.12,10.03681817424,106.115,0.100999999999985,10.337,0.008219548,106.022,"Eifelgold","50","Y","N",102.990806653551,0.977072651639598,"2_2025",21.82302094,1.283495307,17.0028054025444,2.53305415266667,0.213078048333333,11.9169764789029,8.4177738222394,5.88548737322599
151,"2_2025_oPOM","23/03/2026",2,2025,"oPOM",0.107,0.496,"0.389",0.389,10.12,10.03681817424,106.723,0.565999999999988,10.337,0.008219548,106.546,"Eifelgold","50","Y","N",102.990806653551,5.47547644384241,"2_2025",32.49,2.09,15.5454545454545,2.53305415266667,0.213078048333333,11.9169764789029,70.2307250214758,53.706826475754
149,"2_2025_MAOM","23/03/2026",2,2025,"MAOM",NA,NA,"#VALUE!",0,10.12,10.03681817424,174.07,9.66999999999999,10.337,0.008219548,164.4,"Eifelgold","50","Y","N",102.990806653551,93.547450904518,"2_2025",1.28,0.09,14.2222222222222,2.53305415266667,0.213078048333333,11.9169764789029,47.2712898900034,39.5126135576188
166,"3_2025_fPOM","09/04/2026",3,2025,"fPOM",0.107,0.125,"0.018",0.018,9.16,9.07100433456,104.536,0.102000000000004,9.453,0.009715684,104.452,"Huhnerberg","2","N","Y",104.211172780335,1.0790225325294,"3_2025",30.473629,2.124560833,14.3434956187955,3.221543094,0.286069034666667,11.299039442774,10.206826784401,8.01362165327551
