"sample","Plot","Sampling_year","SOM_fraction","Tmt","App_rate","fraction_prop","Ctotal","Ntotal","CN","Cprop","Nprop","X.14C....."
"6_2025_MAOM",6,2025,"MAOM","Lime",2,97.6636031447236,1.56,0.12,13,62.0348237680831,24.913752227743,NA
"6_2025_fPOM",6,2025,"fPOM","Lime",2,1.78274831137195,10.20723343,0.655251801,15.5775740172288,7.40928485997358,2.48326695362844,-50.66
"6_2025_oPOM",6,2025,"oPOM","Lime",2,0.553648543904455,26.51,1.77,14.9774011299435,5.97615841797582,2.08320774013205,-24.13
"7_2025_Bulk",7,2025,"Bulk","Huhnerberg",8,100,2.22225751466667,0.571799775333333,6.24295913194713,100,100,NA
"7_2025_MAOM",7,2025,"MAOM","Huhnerberg",8,94.2857142857144,1.32,0.1,13.2,56.0048248394882,16.489288445549,NA
"7_2025_fPOM",7,2025,"fPOM","Huhnerberg",8,0.497354497354467,17.69569206,1.035994768,17.0808701033903,3.96040151591561,0.901113780256605,-102.6
"7_2025_oPOM",7,2025,"oPOM","Huhnerberg",8,5.21693121693117,16.4,0.99,16.5656565656566,38.5003409339375,9.03246578183952,-52.78
"8_2025_Bulk",8,2025,"Bulk","Huhnerberg",12,100,2.05554005766667,0.256234070333333,8.15634065019868,100,100,-86.27
"8_2025_MAOM",8,2025,"MAOM","Huhnerberg",12,95.1454211266083,1.22,0.1,12.2,56.4705189478169,37.1322287480483,NA
"8_2025_fPOM",8,2025,"fPOM","Huhnerberg",12,0.702778678776059,15.37314892,0.949081898,16.1979160622448,5.25600133469994,2.60306727149526,-60.87
"8_2025_oPOM",8,2025,"oPOM","Huhnerberg",12,4.15180019461563,15.25,0.99,15.4040404040404,30.8021012442637,16.0411228191569,-48.23
"9_2025_Bulk",9,2025,"Bulk","Huhnerberg",50,100,1.93755045233333,0.840417438666667,2.32654949283326,100,100,-72.8
"9_2025_MAOM",9,2025,"MAOM","Huhnerberg",50,94.4967023461996,0.8,0.06,13.3333333333333,39.0169772280872,6.74641181859243,NA
"9_2025_fPOM",9,2025,"fPOM","Huhnerberg",50,2.41107146718563,9.190379143,0.62626487,14.6749076680606,11.436430415332,1.7966897038135,-61.7
"9_2025_oPOM",9,2025,"oPOM","Huhnerberg",50,3.09222618661478,32.71,2.2,14.8681818181818,52.2033985965948,8.09466498142329,-52.85
"10_2025_Bulk",10,2025,"Bulk","Lime",2,100,2.120475061,0.58295738,3.64571770639638,100,100,-64.43
"10_2025_MAOM",10,2025,"MAOM","Lime",2,92.8181436371273,0.86,0.07,12.2857142857143,37.6442076570734,11.1453603256535,NA
"10_2025_fPOM",10,2025,"fPOM","Lime",2,1.85846283074331,10.65277767,0.721172094,14.7714779296493,9.33648865199612,2.29909008316923,-60.36
"10_2025_oPOM",10,2025,"oPOM","Lime",2,5.32339353212941,17.22,1.15,14.9739130434783,43.2303299903174,10.5014582059992,-68.5
"11_2025_Bulk",11,2025,"Bulk","Control",0,100,2.32016281866667,0.395626186666667,8.23034691127749,100,100,-68.07
"11_2025_MAOM",11,2025,"MAOM","Control",0,96.0655737704918,1.31,0.1,13.1,54.2401165240914,24.2819047393927,NA
"11_2025_fPOM",11,2025,"fPOM","Control",0,1.02732240437168,14.92877674,0.927558482,16.0947013365784,6.61016834313305,2.40859084165338,-73.96
"11_2025_oPOM",11,2025,"oPOM","Control",0,2.90710382513652,38.11,2.48,15.366935483871,47.7508413998378,18.2233070744961,-39.03
"12_2025_Bulk",12,2025,"Bulk","Huhnerberg",20,100,2.13942744133333,0.278256957333333,7.96767742010892,100,100,-75.39
"12_2025_MAOM",12,2025,"MAOM","Huhnerberg",20,91.6632102861883,1.03,0.08,12.875,44.1300811472876,26.3535434771198,NA
"12_2025_fPOM",12,2025,"fPOM","Huhnerberg",20,0.186644545831612,22.21256638,1.374686241,16.1582808625783,1.93783359213428,0.922089034435348,-58.5
"12_2025_oPOM",12,2025,"oPOM","Huhnerberg",20,8.1501451679801,6.22,0.42,14.8095238095238,23.6950793307778,12.3017983210786,-84.21
"13_2025_Bulk",13,2025,"Bulk","Eifelgold",50,100,1.70190251166667,0.142064419666667,12.1390229369867,100,100,-90.66
"13_2025_MAOM",13,2025,"MAOM","Eifelgold",50,97.0724191063172,1.15,0.09,12.7777777777778,65.5932294635036,61.4968740242455,NA
"13_2025_fPOM",13,2025,"fPOM","Eifelgold",50,1.77195685670263,7.258448601,0.4321931,16.7944573872188,7.5572235656261,5.39070605265885,-118.09
"13_2025_oPOM",13,2025,"oPOM","Eifelgold",50,1.15562403698017,30.98,2.03,15.2610837438424,21.0360067161459,16.5130495065132,-35.43
"14_2025_Bulk",14,2025,"Bulk","Huhnerberg",50,100,2.087194522,0.163787577,12.7517199660188,100,100,-60.05
"14_2025_MAOM",14,2025,"MAOM","Huhnerberg",50,93.519882179676,1.06,0.09,11.7777777777778,47.4948904213618,51.3884480760762,NA
"14_2025_fPOM",14,2025,"fPOM","Huhnerberg",50,0.852093414685493,15.09079266,0.984763682,15.3242782363292,6.16078899807029,5.12316418511789,-102.11
"14_2025_oPOM",14,2025,"oPOM","Huhnerberg",50,5.6280244056385,21.75,1.51,14.4039735099338,58.6478785433672,51.8862114463915,-25.65
"15_2025_Bulk",15,2025,"Bulk","Bolsdorfer",50,100,1.975471964,0.478515576,6.7909742104591,100,100,-76.16
"15_2025_MAOM",15,2025,"MAOM","Bolsdorfer",50,97.5311387900353,1.27,0.1,12.7,62.7012422958106,20.3820196628323,NA
"15_2025_fPOM",15,2025,"fPOM","Bolsdorfer",50,1.50133451957301,8.796712875,0.576711416,15.2532317393904,6.68539414311315,1.80942230535173,-291.74
"15_2025_oPOM",15,2025,"oPOM","Bolsdorfer",50,0.967526690391653,30.16,1.93,15.6269430051813,14.7714599417176,3.90233172358822,-48.34
"16_2025_Bulk",16,2025,"Bulk","Huhnerberg",30,100,3.034160509,0.549974083,5.58327877804025,100,100,-237.56
"16_2025_MAOM",16,2025,"MAOM","Huhnerberg",30,93.9439332334688,0.7,0.05,14,21.6734589578788,8.54076002281992,NA
"16_2025_fPOM",16,2025,"fPOM","Huhnerberg",30,1.43376845709395,19.54231834,1.318921447,14.8168932914471,9.23456736427405,3.4383946926701,-45.05
"16_2025_oPOM",16,2025,"oPOM","Huhnerberg",30,4.62229830943721,25.63,1.77,14.4802259887006,39.0452335397118,14.8760973663988,-30.8
"17_2025_Bulk",17,2025,"Bulk","Lime",2,100,2.188157071,0.609336913,3.62343890552785,100,100,-191.1
"17_2025_MAOM",17,2025,"MAOM","Lime",2,96.2642122360582,0.87,0.07,12.4285714285714,38.2741557977355,11.0587340316343,NA
"17_2025_fPOM",17,2025,"fPOM","Lime",2,1.05035192203582,18.26158524,1.177766442,15.5052687772199,8.76586576460395,2.03018924288276,-74.27
"17_2025_oPOM",17,2025,"oPOM","Lime",2,2.68543584190599,39.02,2.7,14.4518518518519,47.8876530117118,11.8992902259085,-4.04
"18_2025_Bulk",18,2025,"Bulk","Control",0,100,1.88699997066667,0.413721045,6.29525631790391,100,100,-59.06
"18_2025_MAOM",18,2025,"MAOM","Control",0,94.5407558953374,0.98,0.07,14,49.0990684778325,15.9959300902221,NA
"18_2025_fPOM",18,2025,"fPOM","Control",0,2.61656078389155,10.60915661,0.703992665,15.0699817447672,14.7109186896715,4.45237103997527,-70.98
"18_2025_oPOM",18,2025,"oPOM","Control",0,2.84268332077107,38,2.48,15.3225806451613,57.2453459822456,17.0401160896039,-37.67
"19_2025_Bulk",19,2025,"Bulk","Huhnerberg",50,100,2.43599037166667,0.513440778666667,6.26627359007417,100,100,-233.82
"19_2025_MAOM",19,2025,"MAOM","Huhnerberg",50,95.9850811759545,0.66,0.05,13.2,26.0059129596587,9.34723975618125,NA
"19_2025_fPOM",19,2025,"fPOM","Huhnerberg",50,2.28170250109696,20.75147247,1.313457489,15.7991199896383,19.4371403052174,5.83693263616187,-108.01
"19_2025_oPOM",19,2025,"oPOM","Huhnerberg",50,1.73321632294852,38.64,2.49,15.5180722891566,27.4925055113868,8.40546529114635,-40.88
"20_2025_Bulk",20,2025,"Bulk","Bolsdorfer",50,100,2.12721760433333,0.366123765333333,7.4463676087729,100,100,-86.39
"20_2025_MAOM",20,2025,"MAOM","Bolsdorfer",50,94.2076502732242,0.96,0.07,13.7142857142857,42.5153233397759,18.0117658112736,NA
"20_2025_fPOM",20,2025,"fPOM","Bolsdorfer",50,2.2622950819673,18.01354027,1.188598275,15.1552805088835,19.1573929618792,7.34440177495493,-44.58
"20_2025_oPOM",20,2025,"oPOM","Bolsdorfer",50,3.53005464480852,38.35,2.48,15.4637096774194,63.6406897689406,23.9114101515772,-43.56
"21_2025_Bulk",21,2025,"Bulk","Eifelgold",50,100,2.033913339,0.56745997,3.59820834287511,100,100,-182.7
"21_2025_MAOM",21,2025,"MAOM","Eifelgold",50,96.3353083168751,1.18,0.09,13.1111111111111,55.8901215868926,15.278923989156,NA
"21_2025_fPOM",21,2025,"fPOM","Eifelgold",50,0.504718016238824,28.54483604,1.577027202,18.1004081627756,7.08343504303617,1.40266112682469,-162.76
"21_2025_oPOM",21,2025,"oPOM","Eifelgold",50,3.15997366688607,35.73,2.39,14.9497907949791,55.5116370756244,13.3090217162943,-33.93
"1_2026_Bulk",1,2026,"Bulk","Control",0,100,1.87,0.13,14.3846153846154,100,100,-83.95
"1_2026_MAOM",1,2026,"MAOM","Control",0,97.8655866900176,1.23,0.09,13.6666666666667,64.3714821543966,67.7530984777045,NA
"1_2026_fPOM",1,2026,"fPOM","Control",0,0.634851138353686,11.23240089,0.700104237,16.0438978888797,3.81331684035372,3.41893824481299,-66.94
"1_2026_oPOM",1,2026,"oPOM","Control",0,1.49956217162873,38.55,2.43,15.8641975308642,30.913434072881,28.0302775158293,-45.53
"2_2026_Bulk",2,2026,"Bulk","Eifelgold",50,100,2.39,0.15,15.9333333333333,100,100,-104.22
"2_2026_MAOM",2,2026,"MAOM","Eifelgold",50,96.1122638418697,1.14,0.09,12.6666666666667,45.8443434224818,57.6673583051218,NA
"2_2026_fPOM",2,2026,"fPOM","Eifelgold",50,0.469586108987729,13.38288975,0.76311183,17.5372589231122,2.6294640689181,2.3889780998147,-82.27
"2_2026_oPOM",2,2026,"oPOM","Eifelgold",50,3.4181500491426,38.35,2.34,16.3888888888889,54.8477214998405,53.3231407666246,-71.33
"3_2026_Bulk",3,2026,"Bulk","Huhnerberg",2,100,2.73,0.19,14.3684210526316,100,100,-68.36
"3_2026_MAOM",3,2026,"MAOM","Huhnerberg",2,94.7676943117673,1.45,0.1,14.5,50.3344896527702,49.8777338482986,NA
"3_2026_fPOM",3,2026,"fPOM","Huhnerberg",2,0.434216239687433,19.94973373,1.089537144,18.3102832609808,3.17307632344547,2.48997221930245,-42.23
"3_2026_oPOM",3,2026,"oPOM","Huhnerberg",2,4.79808944854531,15.61,1.03,15.1553398058252,27.4352294109129,26.0106954315877,-61.15
"4_2026_Bulk",4,2026,"Bulk","Bolsdorfer",50,100,2.29,0.15,15.2666666666667,100,100,-95.37
"4_2026_MAOM",4,2026,"MAOM","Bolsdorfer",50,95.5799304952216,1.24,0.09,13.7777777777778,51.7550715345305,57.347958297133,NA
"4_2026_fPOM",4,2026,"fPOM","Bolsdorfer",50,0.412684622067731,28.28293228,1.572709084,17.9835753272727,5.09691319604325,4.32688569302019,-58.17
"4_2026_oPOM",4,2026,"oPOM","Bolsdorfer",50,4.00738488271068,36.18,2.3,15.7304347826087,63.3131812473679,61.4465682015638,-53.69
"5_2026_Bulk",5,2026,"Bulk","Huhnerberg",4,100,2.14,0.15,14.2666666666667,100,100,-126.97
"5_2026_MAOM",5,2026,"MAOM","Huhnerberg",4,92.2059127558405,1.14,0.08,14.25,49.1190376362889,49.1764868031149,NA
"5_2026_fPOM",5,2026,"fPOM","Huhnerberg",4,0.547860243952836,25.44186401,1.516656876,16.7749636800513,6.51335786127733,5.53944004052071,-69.99
"5_2026_oPOM",5,2026,"oPOM","Huhnerberg",4,7.24622700020669,10.8,0.7,15.4285714285714,36.5697437393609,33.8157260009645,-78.91
"6_2026_Bulk",6,2026,"Bulk","Lime",2,100,2.14,0.16,13.375,100,100,-78.02
"6_2026_MAOM",6,2026,"MAOM","Lime",2,95.8438552188551,1.4,0.1,14,62.7015875263538,59.9024095117844,NA
"6_2026_fPOM",6,2026,"fPOM","Lime",2,1.0837542087543,10.7807188,0.688110113,15.6671419244205,5.45964923967131,4.66088894406341,-53.67
"6_2026_oPOM",6,2026,"oPOM","Lime",2,3.07239057239059,35.83,2.4,14.9291666666667,51.441006639605,46.0858585858588,-25.66
"7_2026_Bulk",7,2026,"Bulk","Huhnerberg",8,100,2.32,0.17,13.6470588235294,100,100,-79.96
"7_2026_MAOM",7,2026,"MAOM","Huhnerberg",8,95.852436293848,1.31,0.1,13.1,54.1235739417849,56.3837860552047,NA
"7_2026_fPOM",7,2026,"fPOM","Huhnerberg",8,0.277215054909865,17.68780327,1.065663695,16.5979223586105,2.11350230807239,1.73775305720514,-72.19
"7_2026_oPOM",7,2026,"oPOM","Huhnerberg",8,3.87034865124213,33.37,2.15,15.5209302325581,55.6696269361853,48.9485270598269,-48.8
"8_2026_Bulk",8,2026,"Bulk","Huhnerberg",12,100,2.34,0.17,13.7647058823529,100,100,-78.21
"8_2026_MAOM",8,2026,"MAOM","Huhnerberg",12,97.1447325237939,1.47,0.11,13.3636363636364,61.0268191495629,62.8583563389255,NA
"8_2026_fPOM",8,2026,"fPOM","Huhnerberg",12,0.612624439339213,21.75750923,1.269281149,17.141599595284,5.69623157839594,4.57407442511739,-42.71
"8_2026_oPOM",8,2026,"oPOM","Huhnerberg",12,2.24264303686685,34.01,2.22,15.3198198198198,32.5949955913852,29.2862796579082,-43.55
"9_2026_Bulk",9,2026,"Bulk","Huhnerberg",50,100,1.86,0.14,13.2857142857143,100,100,-72.59
"9_2026_MAOM",9,2026,"MAOM","Huhnerberg",50,97.0173360611607,0.96,0.08,12,50.0734637735023,55.4384777492347,NA
"9_2026_fPOM",9,2026,"fPOM","Huhnerberg",50,0.786045009152507,29.63914108,1.8255831,16.2354379156994,12.5256445814522,10.2499320324869,-37.54
"9_2026_oPOM",9,2026,"oPOM","Huhnerberg",50,2.19661892968674,39.65,2.67,14.8501872659176,46.8257744957416,41.8926610161686,-34.16
"10_2026_Bulk",10,2026,"Bulk","Lime",2,100,2.08,0.14,14.8571428571429,100,100,-71.71
"10_2026_MAOM",10,2026,"MAOM","Lime",2,96.6744006187164,1,0.08,12.5,46.4780772205368,55.2425146392665,NA
"10_2026_fPOM",10,2026,"fPOM","Lime",2,0.784443707877405,22.74202347,1.551187754,14.6610385566517,8.57684481511624,8.69156766686989,-55.2
"10_2026_oPOM",10,2026,"oPOM","Lime",2,2.54115567340615,38.51,2.56,15.04296875,47.0480312417648,46.4668465994267,-53.12
"11_2026_Bulk",11,2026,"Bulk","Control",0,100,2.08,0.14,14.8571428571429,100,100,-66.81
"11_2026_MAOM",11,2026,"MAOM","Control",0,96.9420259078358,1.29,0.09,14.3333333333333,60.1226987601482,62.3198737978944,NA
"11_2026_fPOM",11,2026,"fPOM","Control",0,0.732639626247637,21.44045067,1.294558048,16.5619847662482,7.55198257954313,6.7746037460185,-80.38
"11_2026_oPOM",11,2026,"oPOM","Control",0,2.32533446591656,38.16,2.42,15.7685950413223,42.6609438554693,40.1950671965578,-39.49
"12_2026_Bulk",12,2026,"Bulk","Huhnerberg",20,100,1.97,0.14,14.0714285714286,100,100,-78.12
"12_2026_MAOM",12,2026,"MAOM","Huhnerberg",20,96.584088180727,1.06,0.08,13.25,51.9691032850612,55.190907531844,NA
